Timestamp,Elevation,Azimuth,WS600 Temperature,G-1 Temperature,G-2 Temperature,D2 Temperature,External Temperature,WS600 Pressure,G-1 Pressure,G-2 Pressure,D2 Pressure,External Pressure,WS600 Humidity,G-1 Humidity,G-2 Humidity,External Humidity,Dew Point,External Dew Point,Wind Speed,External Wind Speed,Precipitation,Precipitation Type,SMP21 GHI,G-1 GHI,SMP21 DHI,SHP1 DNI,D2 DNI,SMP21 GTI,G-2 GTI,O3
2019-07-01 00:00:00,-23.488067796610167,141.97627118644075,17.107288135593212,17.337169491525426,17.082237288135584,15.530474576271187,16.0,100.30222033898302,100.30528813559326,100.42806779661011,100.32098305084746,98.88520065789474,73.34859322033898,67.14276271186439,63.50381355932205,77.0,12.28193220338983,12.0,0.7832881355932202,2.0,,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2019-07-01 01:00:00,-21.797316666666664,16.320183333333333,16.515650000000008,16.951733333333337,16.658499999999997,15.033816666666672,16.0,100.26901666666667,100.27213333333337,100.39546666666668,100.28305,98.88520065789474,75.39611666666669,68.46926666666668,64.77523333333333,77.0,12.152216666666666,12.0,0.9427833333333333,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2019-07-01 02:00:00,-17.488433333333333,30.218566666666664,15.404466666666673,15.996216666666667,15.733066666666668,14.166300000000003,15.0,100.21751666666665,100.22701666666671,100.35083333333337,100.2317666666667,98.80520723684211,79.60498333333334,71.26571666666665,67.34330000000001,82.0,11.903899999999991,12.0,0.9033833333333331,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2019-07-01 03:00:00,-11.002600000000005,42.77428333333332,14.706733333333336,15.211166666666665,14.91063333333333,13.333933333333334,15.0,100.18543333333332,100.19809999999998,100.32123333333332,100.19878333333335,98.76521052631578,82.37833333333333,73.81306666666664,69.6101,82.0,11.722233333333339,12.0,0.7276500000000001,2.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0
2019-07-01 04:00:00,-2.5148499999999987,53.98731666666666,13.968316666666674,14.452283333333332,14.151783333333332,12.531150000000002,13.0,100.21831666666667,100.23235,100.35446666666668,100.23123333333328,98.71188157894737,84.8556,75.8193333333333,71.51000000000003,94.0,11.453899999999992,12.0,0.8479166666666661,2.0,0.0,,2.8123500000000003,2.3886666666666665,,5.70005,0.0,2.053083333333333,2.182833333333333,0.0
2019-07-01 05:00:00,6.645233333333334,64.14196666666665,14.93656666666667,15.721600000000002,15.304699999999997,13.857683333333338,14.0,100.30861666666668,100.31918333333334,100.44591666666663,100.31823333333332,98.81853947368423,79.82946666666665,73.06400000000002,68.5714,88.0,11.453866666666666,12.0,0.9876666666666668,2.0,0.0,,77.01678333333332,68.53333333333333,,406.63208333333347,0.0,27.80093333333333,27.845833333333342,0.0
2019-07-01 06:00:00,16.717049999999997,73.67148333333334,17.024899999999988,19.680650000000004,18.811216666666663,17.36863333333333,16.0,100.31731666666664,100.31545,100.44709999999996,100.32151666666667,98.88520065789474,71.48228333333331,61.90406666666669,58.81731666666666,88.0,11.801616666666668,14.0,0.7320508474576273,1.0,0.0,,243.01361666666665,241.85050000000004,,604.9307,0.0,91.10141666666665,86.71616666666668,0.0
2019-07-01 07:00:00,27.366416666666666,83.12425000000002,19.46448333333333,23.751650000000016,23.30224999999999,21.929716666666664,19.0,100.30416666666663,100.28340000000003,100.41809999999997,100.30103333333335,98.93852960526316,63.41963333333333,51.36595000000001,48.38581666666667,73.0,12.301999999999996,14.0,0.6437833333333334,0.0,0.0,,418.90943333333325,410.6524999999999,,688.4855000000001,0.0,282.44665,280.8321666666667,0.0
2019-07-01 08:00:00,38.242233333333324,93.25694999999997,22.086583333333344,27.348116666666677,27.748783333333325,26.5197,20.0,100.28415000000003,100.25214999999999,100.38693333333329,100.28815000000003,98.91186513157895,57.60241666666666,44.71583333333332,40.97471666666666,73.0,13.310416666666667,15.0,0.9288666666666668,2.0,0.0,,594.0332500000001,582.4688333333331,,697.3237000000001,0.0,499.06034999999997,489.7755,0.0
2019-07-01 09:00:00,48.98113333333335,105.3265333333333,23.569416666666672,28.171166666666654,28.74715000000001,27.88555000000001,22.0,100.26518333333341,100.22568333333334,100.3582666666667,100.2671166666667,98.93852960526316,49.957999999999984,40.31775000000001,36.8216,65.0,12.515583333333336,15.0,1.8862833333333338,3.0,0.0,,716.2530333333331,703.6899999999999,,703.9109833333334,0.0,652.9884333333337,643.6538333333338,0.0
2019-07-01 10:00:00,58.95803333333334,121.79853333333331,24.420083333333334,28.675900000000006,29.282816666666655,28.7992,23.0,100.27226666666667,100.2279333333333,100.36115000000004,100.27589999999996,98.93852960526316,48.080749999999995,39.10981666666666,35.723483333333334,65.0,12.705,16.0,2.45845,4.0,0.0,,789.4605666666668,771.9893333333331,,566.1532666666666,0.03766666666666666,745.0673833333334,733.9804999999998,0.0
2019-07-01 11:00:00,66.74093333333333,147.28263333333334,25.607416666666662,29.8234,30.39651666666667,30.42618333333333,24.0,100.22431666666661,100.17561666666668,100.30881666666673,100.22938333333335,98.91186513157895,43.86324999999998,36.73888333333333,33.50945000000001,57.0,12.387500000000001,15.0,1.898633333333333,5.0,0.0,,825.08365,803.4745000000001,,470.80936666666645,1.2363333333333333,787.5650000000002,775.7013333333335,0.0
