Timestamp,WS600 Temperature,External Temperature,WS600 pressure,External Pressure,WS600 Humidity,External Humidity,Dew Point,External Dew Point,Wind Speed,External Wind Speed,Precipitation,SMP21 GHI max,G-1 GHI max,SMP21 GHI mean,G-1 GHI mean,SMP21 DHI max,SMP21 DHI mean,SHP1 DNI max,D2 DNI max,SHP1 DNI mean,D2 DNI mean,SMP21 GTI max,G-2 GTI max,SMP21 GTI mean,G-2 GTI mean,O3 max,O3 nasa
2019-09-19,18.303302636534838,17.375,100.98127858992468,99.54792393092102,70.27456754943502,70.95833333333333,11.70949050141243,11.5,1.3112340554191688,3.375,0.0,757.6115500000002,747.4803333333332,224.85521458333326,220.8499513888889,234.71816666666663,57.06002708333333,869.1724333333336,870.7956666666668,277.28752916666673,288.3719166666667,988.2337333333331,987.4816666666663,282.66350902777776,281.9055069444444,294.03333333333336,268
2019-09-20,18.718047634180788,19.0,100.81394303201508,99.40960197368422,80.02219743408664,74.125,14.96688327448211,13.833333333333334,1.1930984241575435,2.625,0.0,750.6029833333336,736.6564999999997,221.35677777777778,216.95702083333333,296.79375,73.91774097222222,802.9341666666668,802.6671666666666,241.50596388888889,249.44488888888887,959.3126666666668,953.5610000000003,275.9629513888889,274.6200277777778,294.96666666666664,263
2019-09-21,21.779481885593224,21.333333333333332,100.70471889124296,99.33960773026318,76.02194389124294,79.20833333333333,17.17441972693032,17.25,1.19856981077027,2.9583333333333335,0.0,719.8557333333332,703.6049999999999,184.51042569444442,181.05282638888892,234.73878333333326,73.3505861111111,759.6650166666665,758.9585,191.02585347222222,190.92672222222222,951.5878166666665,945.0388333333333,232.82454375,232.10558333333333,269.73333333333335,292
2019-09-22,25.330779001883233,23.291666666666668,100.10518752354051,98.7996521381579,62.29349359698682,71.45833333333333,16.914547292843686,17.291666666666668,3.409460837960257,5.416666666666667,0.0,716.7151,700.7751666666665,195.99900555555556,191.56729861111106,281.62205000000006,60.188195138888894,820.0266333333335,819.6349999999996,218.19680069444442,218.15319444444444,958.0386333333335,950.2431666666666,248.5275222222222,246.7325,273.0833333333333,286
2019-09-23,21.96983908898305,20.5,99.48324329096046,98.13526233552635,66.30657711864407,74.45833333333333,15.272666066384181,15.708333333333334,3.359732415254238,6.208333333333333,2.440999999999974,532.6095500000001,519.6153333333334,130.06654166666667,127.61211111111112,283.5348833333333,80.48701180555553,601.1347333333334,590.0678333333333,101.89405347222224,101.26174999999999,654.4642333333334,650.0606666666666,142.76778680555555,142.50620833333332,296.15,263
2019-09-24,17.689120397834277,16.0,99.84162696563088,98.42079440789475,66.46397813088511,76.5,10.782274988229753,11.375,1.865076336221222,3.625,0.0,752.4953666666667,745.2554999999999,198.13045,195.72572222222217,240.46746666666658,64.12345763888888,810.518083333333,802.8426666666666,257.3001180555556,255.39740277777778,973.9426333333332,976.7298333333332,253.15094236111108,253.4040555555556,276.3666666666667,258
2019-09-25,20.306461134651602,18.791666666666668,99.44274739877592,98.07304523026313,67.75064079566856,76.66666666666667,13.43988679378531,14.0,3.2876994114726266,5.416666666666667,0.0,594.5802333333332,584.6794999999998,174.64074097222218,171.7551666666666,371.93803333333346,89.38553472222223,666.2358999999998,659.6445,159.4212402777778,158.96081944444444,771.6894166666663,769.0465000000002,218.8925527777777,218.10747916666665,248.6,263
2019-09-26,17.325674340866286,15.708333333333334,99.58426233521658,98.14692804276318,66.2484688794727,75.25,10.377336075800377,10.833333333333334,2.2677475400188323,4.083333333333333,3.2520000000000095,689.5469166666667,679.6355000000002,174.01537916666666,171.54887499999998,229.5569333333333,62.17992847222222,740.783133333333,739.7746666666663,184.96681041666662,184.2398680555555,934.3120166666669,933.9720000000001,219.6229833333333,220.11865972222222,272.46666666666664,262
2019-09-27,17.621860310734466,15.625,100.04445413135595,98.61966694078946,59.472115466101705,70.79166666666667,8.941171268832393,9.791666666666666,1.7409137827022885,3.5,0.0,664.4756500000001,655.4076666666666,170.92645624999997,168.26359027777778,382.9057833333333,81.01013611111112,794.1582166666665,789.4331666666669,142.9782444444444,142.66521527777778,920.0314166666667,918.1588333333331,211.9945347222222,211.51786111111107,245.06666666666666,279
2019-09-28,19.19583504001884,17.583333333333332,100.3075761770245,98.8707574013158,81.52357649482109,90.41666666666667,15.90181787900188,15.958333333333334,1.854671315913371,3.8333333333333335,5.8300000000000125,267.5097999999999,264.1148333333333,55.00676805555555,54.561256944444445,260.31626666666665,49.39737152777777,371.6819333333333,370.2196666666667,21.97085972222222,21.18734027777778,236.47678333333326,238.70749999999998,48.90373541666665,49.418513888888874,163.66666666666666,287
