Timestamp,Elevation (deg),Azimuth (deg),WS600 Ambient Temperature (C),G-1 Ambient Temperature (C),G-2 Ambient Temperature (C),D2 Ambient Temperature (C),WS600 Ambient Pressure (kPa),G-1 Ambient Pressure (kPa),G-2 Ambient Pressure (kPa),D2 Ambient Pressure (kPa),WS600 Ambient Humidity (%),G-1 Ambient Humidity (%),G-2 Ambient Humidity (%),WS600 Dew Point (C),WS600 Wind Speed (m/s),WS600 Wind Direction (deg),WS600 Precipitation (mm),WS600 Precipitation Type,SMP21 GHI (W/m2),G-1 GHI (W/m2),SMP21 DHI (W/m2),SHP1 DNI (W/m2),D2 DNI (W/m2),SMP21 GTI (W/m2),G-2 GTI (W/m2),SGR4 IR (W/m2),O3 (DU),H2O (mm),AOD 368 nm,AOD 412 nm,AOD 500 nm,AOD 675 nm,AOD 862 nm,AOD 1024 nm
2019-12-16 00:00:00,-69.799,349.994,-3.53,-2.858,-3.083,-3.531,100.794,100.84,100.975,100.688,73.665,63.3,59.55,-7.53,0.69,208.767,54.03,0,-1.11,-1,-1.415,-1.4,-1,-0.97,-1,230.513,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-16 00:01:00,-69.829,350.654,-3.435,-2.862,-3.093,-3.547,100.8,100.844,100.978,100.689,73.6,63.358,59.6,-7.435,0.727,213.818,54.03,0,-1.085,-1,-1.4,-1.4,-1,-0.917,-1,232.198,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-16 00:02:00,-69.858,351.315,-3.5,-2.868,-3.094,-3.553,100.804,100.845,100.978,100.69,73.705,63.508,59.692,-7.5,0.698,215.798,54.03,0,-1,-1,-1.348,-1.4,-1,-0.9,-1,234.197,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-16 00:03:00,-69.885,351.977,-3.5,-2.869,-3.092,-3.56,100.806,100.849,100.982,100.692,73.795,63.6,59.775,-7.5,0.755,209.29,54.03,0,-1,-1,-1.3,-1.4,-1,-0.897,-1,236.122,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-16 00:04:00,-69.909,352.641,-3.5,-2.871,-3.099,-3.568,100.804,100.85,100.982,100.695,73.46,63.658,59.8,-7.57,1.19,222.735,54.03,0,-0.992,-1,-1.3,-1.398,-1,-0.807,-1,237.405,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-16 00:05:00,-69.931,353.306,-3.535,-2.868,-3.098,-3.565,100.81,100.85,100.982,100.698,72.99,63.7,59.808,-7.735,1.1,230.493,54.03,0,-0.9,-1,-1.3,-1.377,-1,-0.8,-1,237.847,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-16 00:06:00,-69.951,353.973,-3.565,-2.866,-3.096,-3.569,100.81,100.85,100.98,100.698,72.46,63.617,59.892,-7.8,1.177,224.902,54.03,0,-0.9,-1,-1.267,-1.3,-1,-0.8,-1,237.743,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-16 00:07:00,-69.969,354.641,-3.5,-2.864,-3.093,-3.58,100.81,100.85,100.98,100.693,71.85,63.642,59.933,-7.87,1.222,220.043,54.03,0,-0.885,-1,-1.212,-1.3,-1,-0.8,-1,237.525,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-16 00:08:00,-69.985,355.31,-3.5,-2.866,-3.092,-3.576,100.806,100.85,100.981,100.699,71.585,63.742,59.925,-7.895,0.907,222.632,54.03,0,-0.842,-1,-1.2,-1.3,-1,-0.8,-1,237.308,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-16 00:09:00,-69.999,355.979,-3.5,-2.864,-3.091,-3.584,100.804,100.85,100.985,100.701,72.58,63.825,60,-7.665,0.9,227.278,54.03,0,-0.872,-1,-1.2,-1.3,-1,-0.8,-1,237.367,-1,-1,-1,-1,-1,-1,-1,-1
