Timestamp,Elevation (deg),Azimuth (deg),WS600 Ambient Temperature (C),G-1 Ambient Temperature (C),G-2 Ambient Temperature (C),D2 Ambient Temperature (C),WS600 Ambient Pressure (kPa),G-1 Ambient Pressure (kPa),G-2 Ambient Pressure (kPa),D2 Ambient Pressure (kPa),WS600 Ambient Humidity (%),G-1 Ambient Humidity (%),G-2 Ambient Humidity (%),WS600 Dew Point (C),WS600 Wind Speed (m/s),WS600 Wind Direction (deg),WS600 Precipitation (mm),WS600 Precipitation Type,SMP21 GHI (W/m2),G-1 GHI (W/m2),SMP21 DHI (W/m2),SHP1 DNI (W/m2),D2 DNI (W/m2),SMP21 GTI (W/m2),G-2 GTI (W/m2),SGR4 IR (W/m2),O3 (DU),H2O (mm),AOD 368 nm,AOD 412 nm,AOD 500 nm,AOD 675 nm,AOD 862 nm,AOD 1024 nm
2019-12-14 00:00:00,-69.72,350.666,3.1,4.418,4.25,4.316,99.736,99.75,99.888,99.651,71.738,61.1,57.5,-1.5,1.032,13.497,27.62,0,-0.6,-1,-0.695,-1.3,-1,-0.3,-1,301.44,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-14 00:01:00,-69.749,351.324,3.1,4.387,4.219,4.312,99.73,99.75,99.886,99.651,71.877,61.183,57.508,-1.5,0.953,16.41,27.62,0,-0.6,-1,-0.7,-1.3,-1,-0.3,-1,303.022,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-14 00:02:00,-69.775,351.983,3.062,4.356,4.189,4.298,99.734,99.747,99.882,99.646,71.923,61.2,57.55,-1.538,0.9,17.22,27.62,0,-0.6,-1,-0.7,-1.3,-1,-0.3,-1,304.91,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-14 00:03:00,-69.8,352.645,3,4.327,4.159,4.296,99.74,99.741,99.88,99.647,71.877,61.217,57.6,-1.6,0.897,21.652,27.62,0,-0.6,-1,-0.7,-1.3,-1,-0.3,-1,306.702,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-14 00:04:00,-69.822,353.307,3,4.299,4.131,4.283,99.736,99.74,99.88,99.642,72.077,61.3,57.6,-1.562,1.07,23.31,27.62,0,-0.582,-1,-0.613,-1.3,-1,-0.3,-1,308.487,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-14 00:05:00,-69.842,353.971,3,4.274,4.112,4.27,99.73,99.74,99.878,99.639,72.2,61.367,57.683,-1.5,1.053,24.523,27.62,0,-0.5,-1,-0.6,-1.3,-1,-0.228,-1,309.872,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-14 00:06:00,-69.86,354.636,3,4.25,4.091,4.255,99.73,99.737,99.873,99.635,72.238,61.408,57.7,-1.5,0.992,28.775,27.62,0,-0.463,-1,-0.598,-1.3,-1,-0.2,-1,310.33,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-14 00:07:00,-69.876,355.301,3,4.231,4.079,4.24,99.726,99.73,99.87,99.632,72.3,61.508,57.8,-1.5,0.912,23.865,27.62,0,-0.4,-1,-0.527,-1.3,-1,-0.2,-1,310.197,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-14 00:08:00,-69.89,355.968,3,4.219,4.066,4.234,99.72,99.73,99.867,99.631,72.3,61.558,57.808,-1.5,0.88,23.067,27.62,0,-0.4,-1,-0.5,-1.3,-1,-0.163,-1,310.7,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-14 00:09:00,-69.902,356.636,3,4.209,4.056,4.223,99.72,99.73,99.87,99.627,72.262,61.6,57.9,-1.5,0.832,24.523,27.62,0,-0.343,-1,-0.5,-1.3,-1,-0.1,-1,312.35,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-14 00:10:00,-69.912,357.304,3,4.201,4.051,4.206,99.716,99.724,99.862,99.626,72.162,61.642,57.9,-1.5,0.908,26.962,27.62,0,-0.3,-1,-0.497,-1.278,-1,-0.1,-1,314.023,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-14 00:11:00,-69.919,357.972,3,4.192,4.038,4.188,99.71,99.717,99.857,99.617,72.138,61.7,57.975,-1.5,1.12,29.623,27.62,0,-0.3,-1,-0.4,-1.2,-1,-0.1,-1,313.795,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-14 00:12:00,-69.925,358.641,3,4.181,4.033,4.172,99.706,99.71,99.848,99.608,72.238,61.7,57.933,-1.5,1.17,22.49,27.62,0,-0.3,-1,-0.403,-1.2,-1,-0.1,-1,311.295,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-14 00:13:00,-69.928,359.31,3,4.167,4.021,4.158,99.696,99.702,99.84,99.6,72.3,61.7,57.942,-1.5,1.228,62.598,27.62,0,-0.3,-1,-0.422,-1.2,-1,-0.1,-1,308.435,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-14 00:14:00,-69.929,359.98,3,4.16,4.018,4.15,99.686,99.7,99.83,99.597,72.262,61.775,58,-1.5,1.272,60.877,27.62,0,-0.3,-1,-0.4,-1.262,-1,-0.1,-1,307.03,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-14 00:15:00,-69.928,0.649,3,4.162,4.018,4.148,99.684,99.699,99.83,99.598,72.085,61.8,58,-1.538,1.323,8.262,27.62,0,-0.312,-1,-0.457,-1.207,-1,-0.1,-1,307.152,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-14 00:16:00,-69.925,1.318,3,4.162,4.015,4.138,99.69,99.7,99.83,99.595,72.053,61.833,58.075,-1.562,1.302,19.988,27.62,0,-0.375,-1,-0.493,-1.202,-1,-0.1,-1,307.91,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-14 00:17:00,-69.92,1.987,3,4.157,4.013,4.124,99.686,99.698,99.831,99.595,72.377,61.908,58.133,-1.462,1.162,12.732,27.62,0,-0.4,-1,-0.5,-1.2,-1,-0.1,-1,308.937,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-14 00:18:00,-69.913,2.656,3,4.156,4.009,4.127,99.676,99.698,99.83,99.593,72.538,61.983,58.192,-1.438,0.898,20.69,27.62,0,-0.317,-1,-0.5,-1.2,-1,-0.1,-1,310.357,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-14 00:19:00,-69.903,3.324,2.962,4.152,4.001,4.128,99.678,99.699,99.831,99.596,72.638,62,58.192,-1.5,0.775,26.395,27.62,0,-0.3,-1,-0.497,-1.2,-1,-0.1,-1,312.273,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-14 00:20:00,-69.892,3.992,2.9,4.145,3.996,4.128,99.686,99.699,99.83,99.595,72.7,62,58.2,-1.5,0.71,20.98,27.62,0,-0.3,-1,-0.412,-1.2,-1,-0.1,-1,314.423,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-14 00:21:00,-69.878,4.658,2.9,4.134,3.99,4.134,99.684,99.7,99.837,99.599,72.7,62,58.267,-1.5,0.63,18.327,27.62,0,-0.252,-1,-0.4,-1.2,-1,-0.073,-1,316.288,-1,-1,-1,-1,-1,-1,-1,-1
