Timestamp,Elevation (deg),Azimuth (deg),WS600 Ambient Temperature (C),G-1 Ambient Temperature (C),G-2 Ambient Temperature (C),D2 Ambient Temperature (C),WS600 Ambient Pressure (kPa),G-1 Ambient Pressure (kPa),G-2 Ambient Pressure (kPa),D2 Ambient Pressure (kPa),WS600 Ambient Humidity (%),G-1 Ambient Humidity (%),G-2 Ambient Humidity (%),WS600 Dew Point (C),WS600 Wind Speed (m/s),WS600 Wind Direction (deg),WS600 Precipitation (mm),WS600 Precipitation Type,SMP21 GHI (W/m2),G-1 GHI (W/m2),SMP21 DHI (W/m2),SHP1 DNI (W/m2),D2 DNI (W/m2),SMP21 GTI (W/m2),G-2 GTI (W/m2),SGR4 IR (W/m2),O3 (DU),H2O (mm),AOD 368 nm,AOD 412 nm,AOD 500 nm,AOD 675 nm,AOD 862 nm,AOD 1024 nm
2019-12-17 00:00:00,-69.826,349.658,-1.358,-0.483,-0.72,-0.834,100.46,100.484,100.619,100.349,77,67.658,63.525,-4.875,1.03,221.615,54.03,0,-0.423,-1,-0.875,-1.1,-1,-0.433,-1,270.182,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-17 00:01:00,-69.857,350.317,-1.342,-0.487,-0.726,-0.835,100.46,100.482,100.616,100.348,76.992,67.767,63.6,-4.867,1.363,221.265,54.03,0,-0.407,-1,-0.805,-1.1,-1,-0.467,-1,269.557,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-17 00:02:00,-69.887,350.978,-1.358,-0.485,-0.728,-0.84,100.46,100.484,100.62,100.347,75.708,67.8,63.725,-5.1,1.287,228.602,54.03,0,-0.4,-1,-0.8,-1.1,-1,-0.407,-1,268.703,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-17 00:03:00,-69.914,351.641,-1.258,-0.481,-0.728,-0.84,100.456,100.483,100.618,100.35,75.425,67.792,63.7,-5.058,0.833,252.55,54.03,0,-0.432,-1,-0.842,-1.073,-1,-0.422,-1,267.127,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-17 00:04:00,-69.94,352.306,-1.117,-0.485,-0.73,-0.856,100.454,100.481,100.62,100.348,75.225,67.625,63.558,-5,0.985,251.172,54.03,0,-0.5,-1,-0.962,-1,-1,-0.5,-1,265.548,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-17 00:05:00,-69.963,352.972,-1.042,-0.493,-0.739,-0.866,100.456,100.48,100.615,100.348,74.45,67.417,63.417,-5.083,0.967,239.988,54.03,0,-0.542,-1,-1,-0.955,-1,-0.5,-1,264.697,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-17 00:06:00,-69.984,353.639,-1.142,-0.51,-0.742,-0.869,100.45,100.479,100.61,100.345,74.35,67.35,63.408,-5.158,0.825,229.602,54.03,0,-0.5,-1,-1,-0.998,-1,-0.5,-1,264.398,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-17 00:07:00,-70.004,354.307,-1.242,-0.521,-0.742,-0.879,100.446,100.472,100.606,100.338,74.908,67.5,63.5,-5.1,0.94,231.335,54.03,0,-0.5,-1,-1,-1,-1,-0.5,-1,264.35,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-17 00:08:00,-70.021,354.976,-1.3,-0.522,-0.738,-0.894,100.436,100.464,100.602,100.329,74.908,67.617,63.658,-5.142,1.045,234.533,54.03,0,-0.5,-1,-1,-1,-1,-0.5,-1,264.135,-1,-1,-1,-1,-1,-1,-1,-1
2019-12-17 00:09:00,-70.035,355.647,-1.3,-0.522,-0.739,-0.901,100.434,100.46,100.592,100.327,74.333,67.792,63.75,-5.242,0.868,234.79,54.03,0,-0.5,-1,-1,-1,-1,-0.5,-1,263.957,-1,-1,-1,-1,-1,-1,-1,-1
